Venue,Cluster_Assignment
"The Wanderers Stadium, Johannesburg",1
Tikkurila Cricket Ground,1
Titwood,-1
"Titwood, Glasgow",-1
Tolerance Oval,1
"Tolerance Oval, Abu Dhabi",1
Tony Ireland Stadium,1
"Tony Ireland Stadium, Townsville",-1
"Toronto Cricket, Skating and Curling Club",-1
Traeger Park,1
"Traeger Park, Alice Springs",1
"Trafalgar Road Ground, Southport",-1
Trent Bridge,1
"Trent Bridge, Nottingham",1
Tribhuvan University International Cricket Ground,-1
"Tribhuvan University International Cricket Ground, Kirtipur",-1
Turf City B Cricket Ground,1
UKM Cricket Oval,-1
UKM-YSD Cricket Oval,-1
"UKM-YSD Cricket Oval, Bangi",1
Udayana Cricket Ground,1
United Cricket Club Ground,-1
"United Cricket Club Ground, Windhoek",-1
University Oval,-1
"University Oval, Dunedin",-1
"University Oval, Hobart",-1
University of Dar-es-Salaam Ground,1
University of Doha for Science and Technology,1
University of Lagos Cricket Oval,1
University of Otago Oval,-1
"University of Tasmania Stadium, Launceston",1
Uxbridge Cricket Club Ground,0
VCA Ground,1
VRA Cricket Ground,-1
VRA Ground,-1
"VRA Ground, Amstelveen",-1
Vanuatu Cricket Ground,1
Vanuatu Cricket Ground (Oval 2),1
Vidarbha C.A. Ground,-1
Vidarbha Cricket Association Ground,-1
"Vidarbha Cricket Association Stadium, Jamtha",-1
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1
W.A.C.A. Ground,-1
Wanderers,1
Wanderers Cricket Ground,-1
"Wanderers Cricket Ground, Windhoek",-1
Wankhede Stadium,1
"Wankhede Stadium, Mumbai",1
"Warner Park, Basseterre",-1
"Warner Park, Basseterre, St Kitts",1
"Warner Park, St Kitts",0
Waverley Oval,1
Welagedara Stadium,-1
Welbeck Abbey Cricket Ground,-1
"Welbeck Colliery Cricket Club Ground, Market Warsop",-1
West End Park International Cricket Stadium,-1
"West End Park International Cricket Stadium, Doha",1
West Mersea Cricket Club,-1
West Park Oval,1
Western Australia Cricket Association Ground,-1
"Western Australia Cricket Association Ground, Perth",1
"Westpac Park, Hamilton",-1
Westpac Stadium,-1
"Westpac Stadium, Wellington",-1
"White Hill Field, Sandys Parish",1
White Hills Oval,-1
"Whitegate Park, Blackpool",-1
